e_vGLK,e_vPGI,e_vGLYCO,e_vTreha,e_vPFK,e_vALD,e_vGAPDH,e_vPGK,e_vPGM,e_vENO,e_vPYK,e_vPDC,e_vSUC,e_vGLT,e_vADH,e_vG3PDH,GLCo,ETOH,GLY,G6P,TRIO,ACE,P3G,PEP,GLCi,F6P,BPG,PYR,F16P,P2G,v_vGLK,v_vPGI,v_vGLYCO,v_vTreha,v_vPFK,v_vALD,v_vGAPDH,v_vPGK,v_vPGM,v_vENO,v_vPYK,v_vPDC,v_vSUC,v_vGLT,v_vADH,v_vG3PDH
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.263367125,0.751822582,0.150859673,0.704055518,0.752660443,37.24774066,0.405419604,0.753906183,0.442996835,0.630348868,0.656388985,2.411206665,1.081202684,0.118515206,0.605744388,1.081202684,1.081202684,1.741384721,1.741384721,1.741384721,1.741384721,1.741384721,1.741384721,0.256461444,2.411206665,1.228461833,0.421020646
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.2317323,0.669375843,0.144821362,0.635167281,0.6923638,39.87507453,0.354074736,0.675092387,0.416012645,0.552424099,0.597232043,2.303316531,1.028788881,0.20855907,0.53298429,1.028788881,1.028788881,1.68272729,1.68272729,1.68272729,1.68272729,1.68272729,1.68272729,0.246196315,2.303316531,1.19033466,0.374850472
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.231002229,0.852078491,0.157283142,0.785484322,0.821563404,39.79153061,0.313392093,0.848510839,0.472870477,0.728741498,0.725143266,2.306650566,1.140089311,0.103951003,0.531305126,1.140089311,1.140089311,1.803014668,1.803014668,1.803014668,1.803014668,1.803014668,1.803014668,0.267381341,2.306650566,1.268251987,0.477163955
1,1,1,1,1,0.3,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.271879639,0.345654001,0.109542999,0.344620395,0.4119168,44.37976448,0.566435809,0.355704757,0.277420025,1.226429699,0.335818314,2.132238705,0.759246528,0.122345838,0.62532317,0.759246528,0.759246528,1.324926815,1.324926815,1.324926815,1.324926815,1.324926815,1.324926815,0.186223098,2.132238705,0.95248062,0.19356624
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,50,50,0.15,0.235399464,0.509630267,0.168679149,0.953956302,0.957142107,40.29376651,0.337506375,0.355684638,0.529011104,0.483880154,0.863808307,2.286699974,1.097932682,0.105929759,0.541418767,1.097932682,1.097932682,1.910472415,1.910472415,1.910472415,1.910472415,1.910472415,1.910472415,0.286754553,2.286699974,1.33696331,0.285392949
1,1,1,1,1,1,1,1,1.02,1,1,1,1,1,1,1,50,50,0.15,0.24089643,0.690958873,0.147042859,0.64597543,0.714063662,40.91846789,0.368620757,0.692629454,0.425819409,0.573931314,0.618410376,2.262190524,1.04566355,0.108403394,0.55406179,1.04566355,1.04566355,1.704390132,1.704390132,1.704390132,1.704390132,1.704390132,1.704390132,0.249972861,2.262190524,1.20444441,0.386936969
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
1,1,1,1,1,1,1,1,1,1,1.02,1,1,1,1,1,50,50,0.15,0.240926049,0.691999299,0.146925358,0.649409998,0.694230313,40.92182469,0.3687914,0.694729572,0.425297214,0.574434689,0.605239401,2.262059728,1.045383179,0.108416722,0.554129914,1.045383179,1.045383179,1.70324675,1.70324675,1.70324675,1.70324675,1.70324675,1.70324675,0.249773109,2.262059728,1.203700532,0.387519607
1,1,1,1,1,1,1,1,1,1,1,1.05,1,1,1,1,50,50,0.15,0.240898361,0.691026675,0.1470352,0.64619906,0.686094371,40.91868672,0.36863188,0.692766254,0.397487564,0.573964122,0.600349543,2.262181997,1.045645273,0.108404263,0.554066231,1.045645273,1.045645273,1.704315608,1.704315608,1.704315608,1.704315608,1.704315608,1.704315608,0.24995984,2.262181997,1.204395928,0.386974938
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,50,50,0.15,0.295807795,0.831739882,0.15605051,0.769160872,0.807942903,56.33258708,0.45776103,0.829423489,0.467041943,0.70845246,0.711457226,2.622340831,1.128511467,0.133113508,0.680357928,1.128511467,1.128511467,1.791248599,1.791248599,1.791248599,1.791248599,1.791248599,1.791248599,0.265285866,2.622340831,1.260676867,0.465774334
1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,50,50,0.15,0.240784198,0.687022917,0.078679085,0.633039692,0.652890985,40.90574747,0.367974453,0.684702477,0.361466584,0.572025742,0.580353481,2.262686253,1.046726051,0.108352889,0.553803656,1.046726051,1.046726051,1.708719269,1.708719269,1.708719269,1.708719269,1.708719269,1.708719269,0.133754445,2.262686253,1.441210379,0.384732834
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,50,0.15,0.240981824,0.693960413,0.146704067,0.655901142,0.710718556,40.92814553,0.369112823,0.698693477,0.424314824,0.575383123,0.615137418,2.261813467,1.044855255,0.108441821,0.554258196,1.044855255,1.044855255,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,1.701092678,0.249396914,2.261813467,1.20229885,0.388617831
